cliente,edad,flag_visita_unica,indicador_frecuencia_find_semana,indicador_frecuencia_semana,indicador_genero_mas_visto,incidencia_personal_dulceria,Numero_entradas_compradas_moda,TP_boleteria,indicador_nro_visitas_mes,indicador_estreno,indicador_promocion_especiales,indicador_promocion_nino,indicador_upselling_combo,canal_venta_preferido,indicador_cliente_prime,indicador_cliente_xtreme,total_dulceria,total_boleteria,canti_visitas_periodo,tp_cliente_dulceria,PROMEDIO_ENTRADAS_COMPRADAS,Nro_entradas_totales_comprada,TP_dul_por_entrada
8829,29,1,0,1,Accion,0,5,18.5,0,0,0,1,0,Complejos,0,0,0,37,1,0,2.5,5,0
8830,49,1,0,1,Aventura,0,4,32,0,1,1,0,0,Complejos,0,0,0,32,1,0,4,4,0
8831,42,1,1,0,Animacion,0,3,17.25,1,1,0.6667,1,0,Complejos,0,0,0,34.5,1,0,1.5,3,0
8832,22,0,0.4545,0.5455,Accion,0.82,2,19,0,0.5455,0.7727,0,0.2,Complejos,0,0,297,228,11,29.7,1.8333,22,13.5
8833,51,0,0.2553,0.7447,Ciencia Ficcion,0.85,2,17.0068,0,0.5,0.2432,0.0213,0.28,Tienda Web,0,0,1347.5,1258.5,47,26.95,2,148,9.1
8834,51,0,0.6667,0.3333,Comedia,0.56,2,46.65,0,0.5,0.6905,0,0.5455,Complejos,0.05,0,406.5,933,18,36.9545,2.1,42,9.68
8835,45,0,0.6667,0.3333,Dibujo animado,1,1,67.625,0,0,0.2857,0.3333,0.3333,Complejos,0,0,160,270.5,3,53.3333,3.5,14,11.43
8836,30,0,0.3333,0.6667,Musical,0.33,2,17.875,0,0.6667,0.4,0,0.5,Complejos,0,0,35.5,71.5,3,17.75,1.25,5,7.1
8837,52,0,0.5,0.5,Dibujo animado,1,3,29,1,0.0833,0.2439,0.0833,0.5333,Complejos,0,0,462.5,667,12,30.8333,1.7826,41,11.28
8838,44,1,1,0,Animacion,0,5,58,0,0,0.8,1,0,Complejos,0,0,0,116,1,0,2.5,5,0
8839,44,0,0.5263,0.4737,Ciencia Ficcion,0.89,2,29.1481,3,0.4211,0,0.0526,0.2353,Tienda Web,0,0,599,787,19,35.2353,1.7037,46,13.02
8840,53,0,0.0476,0.9524,Dibujo animado,0.95,3,25.4048,0,0.6,0.371,0.0476,0.1,Complejos,0,0,619.5,1067,21,30.975,1.4762,62,9.99
8841,45,0,0.3333,0.6667,Dibujo animado,0.33,4,17.6667,0,0.3333,0,0.1667,0.5,Tienda Web,0,0,37.5,212,6,18.75,2.0833,25,1.5
8842,33,0,0,1,Animacion,0.5,6,40.5,0,1,0.2222,0.5,0.6667,Complejos,0,0,110.5,121.5,2,36.8333,3,9,12.28
8843,26,0,0,1,Aventura,1,2,29.5,0,1,1,0,1,Complejos,0,0,39,59,2,19.5,2,4,9.75
8844,28,0,0,1,Animacion,0,3,16,0,0.3333,0,0,0,Complejos,0,0,0,48,3,0,3.6667,11,0
8845,16,0,0,1,Drama,0,2,9.9,1,0,0.5,0.3333,0,Complejos,0,0,0,49.5,3,0,1.2,6,0
8846,31,0,0.1304,0.8696,Ciencia Ficcion,0.13,2,19.5,0,0.6364,0,0,0,Tienda Web,0,0,129.5,448.5,23,32.375,2.4783,57,2.27
8847,22,0,0.2857,0.7143,Ciencia Ficcion,0.43,2,19.2222,0,0.5714,0.1333,0,0.6667,Tienda Web,0,0,63.5,173,7,21.1667,1.6667,15,4.23
8848,28,0,0.25,0.75,Dibujo animado,0.75,2,18.5,0,0.25,0.25,0,0.3333,Complejos,0,0,109.5,74,4,36.5,2,8,13.69
8849,35,0,0.4,0.6,Comedia,0.6,4,58.2857,0,0.6,0,0.2,0.8333,Tienda Web,0,0,312,408,5,52,3,21,14.86
8850,23,0,0,1,Accion,0.5,3,20.3333,0,0,0.1667,0,0,Complejos,0,0,78.5,61,2,39.25,2,6,13.08
8851,53,0,0,1,Aventura,1,2,65.75,0,0,0.25,0,0.8,Tienda Web,0.5,0,161.5,263,4,32.3,2,8,20.19
8852,44,1,1,0,Ciencia Ficcion,1,2,32,0,0,1,0,0,Complejos,0,0,35,32,1,35,2,2,17.5
8853,16,0,0,1,Terror,0.67,2,13,0,0.6667,0.6667,0,0.5,Complejos,0,0,52,39,3,26,2,6,8.67
8854,24,0,0.2,0.8,Familiar,0.4,3,27.6667,0,0.4,0,0.2,1,Tienda Web,0,0,37.5,166,5,12.5,3.1667,19,1.97
8855,27,0,0.6923,0.3077,Accion,0,1,14.2143,0,0.8462,0.7647,0.0769,0,Complejos,0,0,0,199,13,0,1.2143,17,0
8856,26,0,0.2857,0.7143,Terror,1,2,26.0625,0,0,0.65,0.1429,0.5556,Complejos,0,0,317.5,208.5,7,35.2778,2.5,20,15.88
8857,30,0,0.6667,0.3333,Drama,0.33,3,21.9,0,0.3333,0,0,1,Tienda Web,0,0,10,87.6,3,10,2.25,9,1.11
8858,42,1,0,1,Animacion,1,3,12.75,0,1,0,1,0,Tienda Web,0,0,23,25.5,1,23,1.5,3,7.67
8859,22,0,0.25,0.75,Terror,0.75,3,21.25,0,0.25,0.8333,0.25,1,Complejos,0,0,79.5,127.5,4,26.5,2,12,6.63
8860,31,0,0.5,0.5,Dibujo animado,1,3,33.6667,0,0.6667,0.5882,0.1667,0.125,Complejos,0,0,262.5,303,6,32.8125,1.8889,17,15.44
8861,34,1,1,0,Dibujo animado,1,3,15.25,0,1,0.6667,1,0,Complejos,0,0,23,30.5,1,23,1.5,3,7.67
8862,19,0,0.1429,0.8571,Dibujo animado,0.14,2,26.6667,1,0.5714,0.3548,0,1,Complejos,0,0,4.5,240,7,4.5,3.4444,31,0.15
8863,20,0,0,1,Comedia,0,2,12.5,0,0.5,0.5,0,0,Complejos,0,0,0,25,2,0,2,4,0
8864,30,1,0,1,Animacion,1,7,52.5,0,0,1,0,1,Complejos,0,0,53,52.5,1,53,7,7,7.57
8865,39,0,0.75,0.25,Familiar,1,2,13.0714,0,0.25,0.4545,0.25,0.8333,Complejos,0,0,192,91.5,4,32,1.5714,11,17.45
8866,31,0,0.3,0.7,Ciencia Ficcion,0.1,2,30.4545,1,0.3,0,0,0.6667,Tienda Web,0.0909,0,96,335,10,32,2.0909,23,4.17
8867,52,1,1,0,Dibujo animado,0,4,24,0,0,0,0,1,Complejos,0,0,12.5,24,1,12.5,4,4,3.13
